Location,Offense_Category,Volume
ATM Separate from Bank,Weapon Law Violations,14
Auto Dealership New/Used,Assault,1346
Auto Dealership New/Used,Homicide,2
Auto Dealership New/Used,Human Trafficking,0
Auto Dealership New/Used,Kidnapping_Abduction,8
Auto Dealership New/Used,Sex,26
Auto Dealership New/Used,Arson,52
Auto Dealership New/Used,Bribery,0
Auto Dealership New/Used,Burglary/Breaking & Entering,2709
Auto Dealership New/Used,Counterfeiting/Forgery,683
Auto Dealership New/Used,Destruction/Damage/Vandalism ,3616
Auto Dealership New/Used,Embezzlement,204
Auto Dealership New/Used,Extortion/Blackmail,4
Auto Dealership New/Used,Fraud,3122
Auto Dealership New/Used,Larceny/Theft,9522
Auto Dealership New/Used,Motor Vehicle Theft,7906
Auto Dealership New/Used,Robbery,89
Auto Dealership New/Used,Stolen Property,278
Auto Dealership New/Used,Animal Cruelty,4
Auto Dealership New/Used,Drug/Narcotic,502
Auto Dealership New/Used,Gambling,5
Auto Dealership New/Used,Pornography/Obscene Material,5
Auto Dealership New/Used,Prostitution,1
Auto Dealership New/Used,Weapon Law Violations,101
Bank/Savings and Loan,Assault,1704
Bank/Savings and Loan,Homicide,6
Bank/Savings and Loan,Human Trafficking,0
Bank/Savings and Loan,Kidnapping_Abduction,69
Bank/Savings and Loan,Sex,31
Bank/Savings and Loan,Arson,38
Bank/Savings and Loan,Bribery,0
Bank/Savings and Loan,Burglary/Breaking & Entering,641
Bank/Savings and Loan,Counterfeiting/Forgery,19187
Bank/Savings and Loan,Destruction/Damage/Vandalism ,2655
Bank/Savings and Loan,Embezzlement,419
Bank/Savings and Loan,Extortion/Blackmail,26
Bank/Savings and Loan,Fraud,31250
Bank/Savings and Loan,Larceny/Theft,8457
Bank/Savings and Loan,Motor Vehicle Theft,210
Bank/Savings and Loan,Robbery,1319
Bank/Savings and Loan,Stolen Property,560
Bank/Savings and Loan,Animal Cruelty,1
Bank/Savings and Loan,Drug/Narcotic,1089
Bank/Savings and Loan,Gambling,0
Bank/Savings and Loan,Pornography/Obscene Material,5
Bank/Savings and Loan,Prostitution,3
Bank/Savings and Loan,Weapon Law Violations,148
Bar/Nightclub,Assault,19463
Bar/Nightclub,Homicide,158
Bar/Nightclub,Human Trafficking,11
Bar/Nightclub,Kidnapping_Abduction,74
Bar/Nightclub,Sex,577
Bar/Nightclub,Arson,78
Bar/Nightclub,Bribery,4
Bar/Nightclub,Burglary/Breaking & Entering,2180
Bar/Nightclub,Counterfeiting/Forgery,611
Bar/Nightclub,Destruction/Damage/Vandalism ,4223
Bar/Nightclub,Embezzlement,96
Bar/Nightclub,Extortion/Blackmail,11
Bar/Nightclub,Fraud,1473
Bar/Nightclub,Larceny/Theft,9083
Bar/Nightclub,Motor Vehicle Theft,957
Bar/Nightclub,Robbery,453
Bar/Nightclub,Stolen Property,106
Bar/Nightclub,Animal Cruelty,5
Bar/Nightclub,Drug/Narcotic,1857
Bar/Nightclub,Gambling,28
Bar/Nightclub,Pornography/Obscene Material,15
Bar/Nightclub,Prostitution,27
Bar/Nightclub,Weapon Law Violations,1039
Camp/Campground,Assault,1961
Camp/Campground,Homicide,6
Camp/Campground,Human Trafficking,0
Camp/Campground,Kidnapping_Abduction,39
Camp/Campground,Sex,293
Camp/Campground,Arson,47
Camp/Campground,Bribery,0
Camp/Campground,Burglary/Breaking & Entering,574
Camp/Campground,Counterfeiting/Forgery,13
Camp/Campground,Destruction/Damage/Vandalism ,818
Camp/Campground,Embezzlement,7
Camp/Campground,Extortion/Blackmail,2
Camp/Campground,Fraud,89
Camp/Campground,Larceny/Theft,1979
Camp/Campground,Motor Vehicle Theft,246
Camp/Campground,Robbery,30
Camp/Campground,Stolen Property,64
Camp/Campground,Animal Cruelty,9
Camp/Campground,Drug/Narcotic,621
Camp/Campground,Gambling,1
Camp/Campground,Pornography/Obscene Material,3
Camp/Campground,Prostitution,2
Camp/Campground,Weapon Law Violations,124
Church/Synagogue/Temple/Mosque,Assault,2515
Church/Synagogue/Temple/Mosque,Homicide,13
Church/Synagogue/Temple/Mosque,Human Trafficking,0
Church/Synagogue/Temple/Mosque,Kidnapping_Abduction,44
Church/Synagogue/Temple/Mosque,Sex,347
Church/Synagogue/Temple/Mosque,Arson,196
Church/Synagogue/Temple/Mosque,Bribery,0
Church/Synagogue/Temple/Mosque,Burglary/Breaking & Entering,5634
Church/Synagogue/Temple/Mosque,Counterfeiting/Forgery,182
Church/Synagogue/Temple/Mosque,Destruction/Damage/Vandalism ,8700
Church/Synagogue/Temple/Mosque,Embezzlement,46
Church/Synagogue/Temple/Mosque,Extortion/Blackmail,7
Church/Synagogue/Temple/Mosque,Fraud,510
Church/Synagogue/Temple/Mosque,Larceny/Theft,8026
Church/Synagogue/Temple/Mosque,Motor Vehicle Theft,710
Church/Synagogue/Temple/Mosque,Robbery,153
Church/Synagogue/Temple/Mosque,Stolen Property,162
Church/Synagogue/Temple/Mosque,Animal Cruelty,4
Church/Synagogue/Temple/Mosque,Drug/Narcotic,1724
Church/Synagogue/Temple/Mosque,Gambling,0
Church/Synagogue/Temple/Mosque,Pornography/Obscene Material,26
Church/Synagogue/Temple/Mosque,Prostitution,5
Church/Synagogue/Temple/Mosque,Weapon Law Violations,194
Commercial/Office Building,Assault,20400
Commercial/Office Building,Homicide,85
Commercial/Office Building,Human Trafficking,21
Commercial/Office Building,Kidnapping_Abduction,182
Commercial/Office Building,Sex,820
Commercial/Office Building,Arson,670
Commercial/Office Building,Bribery,5
Commercial/Office Building,Burglary/Breaking & Entering,28553
Commercial/Office Building,Counterfeiting/Forgery,3866
Commercial/Office Building,Destruction/Damage/Vandalism ,35611
Commercial/Office Building,Embezzlement,1998
Commercial/Office Building,Extortion/Blackmail,110
Commercial/Office Building,Fraud,15527
Commercial/Office Building,Larceny/Theft,63727
Commercial/Office Building,Motor Vehicle Theft,9658
Commercial/Office Building,Robbery,1680
Commercial/Office Building,Stolen Property,966
Commercial/Office Building,Animal Cruelty,94
Commercial/Office Building,Drug/Narcotic,6020
Commercial/Office Building,Gambling,204
Commercial/Office Building,Pornography/Obscene Material,110
Commercial/Office Building,Prostitution,201
Commercial/Office Building,Weapon Law Violations,1149
Community Center,Assault,1195
Community Center,Homicide,5
Community Center,Human Trafficking,1
Community Center,Kidnapping_Abduction,9
Community Center,Sex,99
Community Center,Arson,34
Community Center,Bribery,0
Community Center,Burglary/Breaking & Entering,611
Community Center,Counterfeiting/Forgery,28
Community Center,Destruction/Damage/Vandalism ,1271
Community Center,Embezzlement,13
Community Center,Extortion/Blackmail,2
Community Center,Fraud,163
Community Center,Larceny/Theft,2111
Community Center,Motor Vehicle Theft,96
Community Center,Robbery,47
Community Center,Stolen Property,15
Community Center,Animal Cruelty,1
Community Center,Drug/Narcotic,266
Community Center,Gambling,1
Community Center,Pornography/Obscene Material,11
Community Center,Prostitution,2
Community Center,Weapon Law Violations,56
Construction Site,Assault,1259
Construction Site,Homicide,7
Construction Site,Human Trafficking,0
Construction Site,Kidnapping_Abduction,10
Construction Site,Sex,51
Construction Site,Arson,130
Construction Site,Bribery,1
Construction Site,Burglary/Breaking & Entering,8970
Construction Site,Counterfeiting/Forgery,58
Construction Site,Destruction/Damage/Vandalism ,6942
Construction Site,Embezzlement,95
Construction Site,Extortion/Blackmail,7
Construction Site,Fraud,328
Construction Site,Larceny/Theft,23114
Construction Site,Motor Vehicle Theft,1377
Construction Site,Robbery,86
Construction Site,Stolen Property,142
Construction Site,Animal Cruelty,3
Construction Site,Drug/Narcotic,528
Construction Site,Gambling,2
Construction Site,Pornography/Obscene Material,2
Construction Site,Prostitution,0
Construction Site,Weapon Law Violations,86
Convenience Store,Assault,25458
Convenience Store,Homicide,172
Convenience Store,Human Trafficking,6
Convenience Store,Kidnapping_Abduction,354
Convenience Store,Sex,346
Convenience Store,Arson,177
Convenience Store,Bribery,8
Convenience Store,Burglary/Breaking & Entering,8201
Convenience Store,Counterfeiting/Forgery,8863
Convenience Store,Destruction/Damage/Vandalism ,12114
Convenience Store,Embezzlement,1840
Convenience Store,Extortion/Blackmail,29
Convenience Store,Fraud,17534
Convenience Store,Larceny/Theft,103204
Convenience Store,Motor Vehicle Theft,5809
Convenience Store,Robbery,8235
Convenience Store,Stolen Property,1385
Convenience Store,Animal Cruelty,41
Convenience Store,Drug/Narcotic,18793
Convenience Store,Gambling,201
Convenience Store,Pornography/Obscene Material,35
Convenience Store,Prostitution,51
Convenience Store,Weapon Law Violations,2649
Cyberspace,Assault,8288
Cyberspace,Homicide,0
Cyberspace,Human Trafficking,81
Cyberspace,Kidnapping_Abduction,0
Cyberspace,Sex,0
Cyberspace,Arson,0
Cyberspace,Bribery,14
Cyberspace,Burglary/Breaking & Entering,0
Cyberspace,Counterfeiting/Forgery,827
Cyberspace,Destruction/Damage/Vandalism ,46
Cyberspace,Embezzlement,106
Cyberspace,Extortion/Blackmail,1577
