State,Offense_Category,Volume
South Carolina,Pornography/Obscene Material,803
South Carolina,Prostitution,169
South Carolina,Weapon Law Violations,8975
South Dakota,Assault,12063
South Dakota,Homicide,52
South Dakota,Human Trafficking,2
South Dakota,Kidnapping_Abduction,171
South Dakota,Sex,1128
South Dakota,Arson,88
South Dakota,Bribery,0
South Dakota,Burglary/Breaking & Entering,2628
South Dakota,Counterfeiting/Forgery,824
South Dakota,Destruction/Damage/Vandalism ,4871
South Dakota,Embezzlement,227
South Dakota,Extortion/Blackmail,36
South Dakota,Fraud,2323
South Dakota,Larceny/Theft,12987
South Dakota,Motor Vehicle Theft,2120
South Dakota,Robbery,244
South Dakota,Stolen Property,443
South Dakota,Animal Cruelty,21
South Dakota,Drug/Narcotic,12738
South Dakota,Gambling,11
South Dakota,Pornography/Obscene Material,232
South Dakota,Prostitution,33
South Dakota,Weapon Law Violations,724
Tennessee,Assault,136180
Tennessee,Homicide,747
Tennessee,Human Trafficking,40
Tennessee,Kidnapping_Abduction,2028
Tennessee,Sex,5318
Tennessee,Arson,992
Tennessee,Bribery,23
Tennessee,Burglary/Breaking & Entering,25796
Tennessee,Counterfeiting/Forgery,5439
Tennessee,Destruction/Damage/Vandalism ,47632
Tennessee,Embezzlement,1646
Tennessee,Extortion/Blackmail,521
Tennessee,Fraud,25717
Tennessee,Larceny/Theft,126481
Tennessee,Motor Vehicle Theft,20718
Tennessee,Robbery,5604
Tennessee,Stolen Property,2581
Tennessee,Animal Cruelty,423
Tennessee,Drug/Narcotic,79671
Tennessee,Gambling,20
Tennessee,Pornography/Obscene Material,790
Tennessee,Prostitution,340
Tennessee,Weapon Law Violations,12628
Texas,Assault,337069
Texas,Homicide,1792
Texas,Human Trafficking,399
Texas,Kidnapping_Abduction,2758
Texas,Sex,15783
Texas,Arson,2423
Texas,Bribery,75
Texas,Burglary/Breaking & Entering,81815
Texas,Counterfeiting/Forgery,16970
Texas,Destruction/Damage/Vandalism ,136429
Texas,Embezzlement,2025
Texas,Extortion/Blackmail,562
Texas,Fraud,70765
Texas,Larceny/Theft,378566
Texas,Motor Vehicle Theft,69518
Texas,Robbery,23329
Texas,Stolen Property,3274
Texas,Animal Cruelty,2137
Texas,Drug/Narcotic,126171
Texas,Gambling,376
Texas,Pornography/Obscene Material,3523
Texas,Prostitution,1942
Texas,Weapon Law Violations,21031
Utah,Assault,28617
Utah,Homicide,110
Utah,Human Trafficking,66
Utah,Kidnapping_Abduction,891
Utah,Sex,4036
Utah,Arson,277
Utah,Bribery,11
Utah,Burglary/Breaking & Entering,7643
Utah,Counterfeiting/Forgery,2416
Utah,Destruction/Damage/Vandalism ,23095
Utah,Embezzlement,85
Utah,Extortion/Blackmail,264
Utah,Fraud,12573
Utah,Larceny/Theft,53131
Utah,Motor Vehicle Theft,8669
Utah,Robbery,1159
Utah,Stolen Property,2001
Utah,Animal Cruelty,64
Utah,Drug/Narcotic,35355
Utah,Gambling,4
Utah,Pornography/Obscene Material,520
Utah,Prostitution,143
Utah,Weapon Law Violations,3399
Vermont,Assault,3569
Vermont,Homicide,18
Vermont,Human Trafficking,1
Vermont,Kidnapping_Abduction,93
Vermont,Sex,307
Vermont,Arson,42
Vermont,Bribery,1
Vermont,Burglary/Breaking & Entering,976
Vermont,Counterfeiting/Forgery,189
Vermont,Destruction/Damage/Vandalism ,2874
Vermont,Embezzlement,60
Vermont,Extortion/Blackmail,11
Vermont,Fraud,1422
Vermont,Larceny/Theft,6451
Vermont,Motor Vehicle Theft,260
Vermont,Robbery,64
Vermont,Stolen Property,145
Vermont,Animal Cruelty,33
Vermont,Drug/Narcotic,1181
Vermont,Gambling,1
Vermont,Pornography/Obscene Material,88
Vermont,Prostitution,16
Vermont,Weapon Law Violations,78
Virginia,Assault,91564
Virginia,Homicide,588
Virginia,Human Trafficking,60
Virginia,Kidnapping_Abduction,1642
Virginia,Sex,4821
Virginia,Arson,621
Virginia,Bribery,26
Virginia,Burglary/Breaking & Entering,11405
Virginia,Counterfeiting/Forgery,4330
Virginia,Destruction/Damage/Vandalism ,48518
Virginia,Embezzlement,1792
Virginia,Extortion/Blackmail,872
Virginia,Fraud,33569
Virginia,Larceny/Theft,104720
Virginia,Motor Vehicle Theft,10770
Virginia,Robbery,2962
Virginia,Stolen Property,1396
Virginia,Animal Cruelty,1164
Virginia,Drug/Narcotic,56611
Virginia,Gambling,9
Virginia,Pornography/Obscene Material,1894
Virginia,Prostitution,371
Virginia,Weapon Law Violations,14022
Washington,Assault,72069
Washington,Homicide,334
Washington,Human Trafficking,78
Washington,Kidnapping_Abduction,1264
Washington,Sex,5243
Washington,Arson,1297
Washington,Bribery,14
Washington,Burglary/Breaking & Entering,38635
Washington,Counterfeiting/Forgery,4361
Washington,Destruction/Damage/Vandalism ,67070
Washington,Embezzlement,209
Washington,Extortion/Blackmail,646
Washington,Fraud,57591
Washington,Larceny/Theft,148503
Washington,Motor Vehicle Theft,27100
Washington,Robbery,5154
Washington,Stolen Property,5815
Washington,Animal Cruelty,200
Washington,Drug/Narcotic,23864
Washington,Gambling,9
Washington,Pornography/Obscene Material,739
Washington,Prostitution,415
Washington,Weapon Law Violations,5625
West Virginia,Assault,13128
West Virginia,Homicide,121
West Virginia,Human Trafficking,59
West Virginia,Kidnapping_Abduction,137
West Virginia,Sex,1163
West Virginia,Arson,272
West Virginia,Bribery,3
West Virginia,Burglary/Breaking & Entering,4149
West Virginia,Counterfeiting/Forgery,814
West Virginia,Destruction/Damage/Vandalism ,5926
West Virginia,Embezzlement,87
West Virginia,Extortion/Blackmail,8
West Virginia,Fraud,2067
West Virginia,Larceny/Theft,15529
West Virginia,Motor Vehicle Theft,1994
West Virginia,Robbery,311
West Virginia,Stolen Property,720
West Virginia,Animal Cruelty,9
West Virginia,Drug/Narcotic,10653
West Virginia,Gambling,0
West Virginia,Pornography/Obscene Material,495
West Virginia,Prostitution,30
West Virginia,Weapon Law Violations,1592
Wisconsin,Assault,39165
Wisconsin,Homicide,409
Wisconsin,Human Trafficking,85
Wisconsin,Kidnapping_Abduction,938
Wisconsin,Sex,3801
Wisconsin,Arson,545
Wisconsin,Bribery,9
Wisconsin,Burglary/Breaking & Entering,10462
Wisconsin,Counterfeiting/Forgery,1890
Wisconsin,Destruction/Damage/Vandalism ,23765
Wisconsin,Embezzlement,533
Wisconsin,Extortion/Blackmail,242
Wisconsin,Fraud,12793
Wisconsin,Larceny/Theft,54942
Wisconsin,Motor Vehicle Theft,8543
Wisconsin,Robbery,2922
Wisconsin,Stolen Property,1264
Wisconsin,Animal Cruelty,241
Wisconsin,Drug/Narcotic,37553
Wisconsin,Gambling,3
Wisconsin,Pornography/Obscene Material,1418
Wisconsin,Prostitution,216
Wisconsin,Weapon Law Violations,9734
Wyoming,Assault,1085
Wyoming,Homicide,2
Wyoming,Human Trafficking,1
Wyoming,Kidnapping_Abduction,18
Wyoming,Sex,107
Wyoming,Arson,8
Wyoming,Bribery,0
Wyoming,Burglary/Breaking & Entering,161
Wyoming,Counterfeiting/Forgery,51
Wyoming,Destruction/Damage/Vandalism ,404
Wyoming,Embezzlement,5
Wyoming,Extortion/Blackmail,5
Wyoming,Fraud,153
Wyoming,Larceny/Theft,812
Wyoming,Motor Vehicle Theft,74
Wyoming,Robbery,6
Wyoming,Stolen Property,8
Wyoming,Animal Cruelty,29
Wyoming,Drug/Narcotic,803
Wyoming,Gambling,0
Wyoming,Pornography/Obscene Material,7
Wyoming,Prostitution,2
Wyoming,Weapon Law Violations,14
