State,Offense_Category,Offense_Type,Volume
Georgia,Kidnapping_Abduction,Person,2040
Georgia,Sex,Person,5965
Georgia,Arson,Property,651
Georgia,Bribery,Property,12
Georgia,Burglary/Breaking & Entering,Property,18567
Georgia,Counterfeiting/Forgery,Property,5526
Georgia,Destruction/Damage/Vandalism ,Property,36394
Georgia,Embezzlement,Property,312
Georgia,Extortion/Blackmail,Property,251
Georgia,Fraud,Property,27491
Georgia,Larceny/Theft,Property,97267
Georgia,Motor Vehicle Theft,Property,14621
Georgia,Robbery,Property,3862
Georgia,Stolen Property,Property,2866
Georgia,Animal Cruelty,Society,885
Georgia,Drug/Narcotic,Society,32004
Georgia,Gambling,Society,32
Georgia,Pornography/Obscene Material,Society,1153
Georgia,Prostitution,Society,246
Georgia,Weapon Law Violations,Society,4695
Hawaii,Assault,Person,8358
Hawaii,Homicide,Person,25
Hawaii,Human Trafficking,Person,10
Hawaii,Kidnapping_Abduction,Person,323
Hawaii,Sex,Person,660
Hawaii,Arson,Property,319
Hawaii,Bribery,Property,2
Hawaii,Burglary/Breaking & Entering,Property,3301
Hawaii,Counterfeiting/Forgery,Property,417
Hawaii,Destruction/Damage/Vandalism ,Property,949
Hawaii,Embezzlement,Property,32
Hawaii,Extortion/Blackmail,Property,134
Hawaii,Fraud,Property,4091
Hawaii,Larceny/Theft,Property,18238
Hawaii,Motor Vehicle Theft,Property,3744
Hawaii,Robbery,Property,743
Hawaii,Stolen Property,Property,760
Hawaii,Animal Cruelty,Society,46
Hawaii,Drug/Narcotic,Society,2400
Hawaii,Gambling,Society,313
Hawaii,Pornography/Obscene Material,Society,60
Hawaii,Prostitution,Society,40
Hawaii,Weapon Law Violations,Society,421
Idaho,Assault,Person,14725
Idaho,Homicide,Person,48
Idaho,Human Trafficking,Person,4
Idaho,Kidnapping_Abduction,Person,241
Idaho,Sex,Person,1954
Idaho,Arson,Property,152
Idaho,Bribery,Property,1
Idaho,Burglary/Breaking & Entering,Property,3405
Idaho,Counterfeiting/Forgery,Property,744
Idaho,Destruction/Damage/Vandalism ,Property,6751
Idaho,Embezzlement,Property,139
