State,City,Population,Total_law_employees,Total_officers,Total_civilians
Maine,Monmouth,4139,4,4,0
Maine,Newport,3272,6,6,0
Maine,North Berwick,4744,9,8,1
Maine,Norway,4989,10,9,1
Maine,Oakland,6317,11,10,1
Maine,Ogunquit,932,12,11,1
Maine,Old Orchard Beach,9061,25,22,3
Maine,Old Town,7388,16,15,1
Maine,Orono,10851,15,14,1
Maine,Oxford,4095,8,7,1
Maine,Paris,5149,9,8,1
Maine,Phippsburg,2274,1,1,0
Maine,Pittsfield,3971,7,6,1
Maine,Portland,66229,203,148,55
Maine,Presque Isle,8937,19,14,5
Maine,Rangeley,1153,3,3,0
Maine,Richmond,3477,4,4,0
Maine,Rockland,7151,19,17,2
Maine,Rockport,3367,6,6,0
Maine,Rumford,5735,13,12,1
Maine,Sabattus,5054,9,8,1
Maine,Saco,20133,47,31,16
Maine,Sanford,21272,43,39,4
Maine,Scarborough,21237,59,39,20
Maine,Searsport,2635,3,3,0
Maine,Skowhegan,8202,17,16,1
Maine,South Berwick,7605,11,10,1
Maine,South Portland,25593,62,53,9
Maine,Southwest Harbor,1795,8,4,4
Maine,Thomaston,2741,5,5,0
Maine,Topsham,8891,15,14,1
Maine,Veazie,1823,4,4,0
Maine,Waldoboro,5070,7,7,0
Maine,Washburn,1526,2,2,0
Maine,Waterville,16654,41,30,11
Maine,Wells,10803,33,24,9
Maine,Westbrook,19256,43,39,4
Maine,Wilton,3944,4,4,0
Maine,Windham,18720,30,27,3
Maine,Winslow,7599,11,10,1
Maine,Winter Harbor,511,1,1,0
Maine,Winthrop,5983,14,9,5
Maine,Wiscasset,3767,4,3,1
Maine,Yarmouth,8617,15,14,1
Maine,York,13377,37,26,11
Maryland,Aberdeen,16140,54,41,13
Maryland,Annapolis,39315,146,115,31
Maryland,Baltimore,588594,2940,2465,475
Maryland,Baltimore City Sheriff,,183,122,61
Maryland,Bel Air,10116,41,31,10
Maryland,Berlin,4914,19,14,5
Maryland,Berwyn Heights,3269,11,10,1
Maryland,Bladensburg,9455,34,23,11
Maryland,Boonsboro,3677,5,4,1
Maryland,Bowie,59008,80,63,17
Maryland,Brentwood,3485,4,3,1
Maryland,Brunswick,6562,16,16,0
Maryland,Cambridge,12239,42,39,3
Maryland,Capitol Heights,4537,13,11,2
Maryland,Centreville,5026,11,11,0
Maryland,Chestertown,5027,12,11,1
Maryland,Cheverly,6456,16,13,3
Maryland,Chevy Chase Village,2067,17,11,6
Maryland,Colmar Manor,1459,5,4,1
Maryland,Cottage City,1361,5,4,1
Maryland,Crisfield,2548,14,10,4
Maryland,Cumberland,19122,63,48,15
Maryland,Delmar,3384,13,12,1
Maryland,Denton,4525,13,12,1
Maryland,District Heights,6010,10,9,1
Maryland,Edmonston,1497,6,5,1
Maryland,Elkton,15639,45,39,6
Maryland,Fairmount Heights,1530,1,1,0
Maryland,Federalsburg,2653,10,9,1
Maryland,Forest Heights,2574,8,7,1
Maryland,Frederick,73042,192,146,46
Maryland,Frostburg,8451,21,17,4
Maryland,Fruitland,5362,23,20,3
Maryland,Glenarden,6177,18,16,2
Maryland,Greenbelt,23342,62,47,15
Maryland,Greensboro,1874,5,5,0
Maryland,Hagerstown,40136,108,91,17
Maryland,Hampstead,6410,10,9,1
Maryland,Havre de Grace,14132,42,31,11
Maryland,Hurlock,2015,11,10,1
Maryland,Hyattsville,18305,61,44,17
Maryland,Landover Hills,1642,6,5,1
Maryland,La Plata,9728,21,20,1
Maryland,Laurel,25704,82,64,18
Maryland,Luke,59,1,1,0
Maryland,Manchester,4855,7,6,1
Maryland,Morningside,1286,9,8,1
Maryland,Mount Airy,9476,10,8,2
Maryland,Mount Rainier,8126,19,14,5
Maryland,New Carrollton,12990,31,19,12
Maryland,North East,3648,11,10,1
Maryland,Oakland,1806,2,2,0
Maryland,Ocean City,6926,130,104,26
Maryland,Ocean Pines,11710,19,15,4
Maryland,Perryville,4428,12,11,1
Maryland,Pocomoke City,4078,24,17,7
Maryland,Princess Anne,3535,12,11,1
Maryland,Ridgely,1659,5,5,0
Maryland,Rising Sun,2780,5,5,0
Maryland,Riverdale Park,7229,30,23,7
Maryland,Rock Hall,1270,3,3,0
Maryland,Salisbury,33233,111,82,29
Maryland,Seat Pleasant,4761,29,24,5
Maryland,Smithsburg,2972,4,3,1
Maryland,Snow Hill,2043,7,7,0
Maryland,St. Michaels,1041,10,9,1
Maryland,Sykesville,3960,8,7,1
Maryland,Takoma Park,17831,61,40,21
Maryland,Taneytown,6824,16,14,2
Maryland,Thurmont,6977,15,12,3
Maryland,University Park,2639,8,7,1
Maryland,Upper Marlboro,675,4,3,1
Maryland,Westminster,18654,55,45,10
Massachusetts,Abington,17306,33,30,3
Massachusetts,Acton,23728,54,43,11
Massachusetts,Acushnet,10604,24,20,4
Massachusetts,Adams,7959,18,17,1
Massachusetts,Agawam,28533,66,53,13
Massachusetts,Amesbury,17578,39,33,6
Massachusetts,Amherst,40061,55,37,18
Massachusetts,Andover,36534,69,50,19
Massachusetts,Aquinnah,322,4,4,0
Massachusetts,Arlington,45582,82,68,14
Massachusetts,Ashburnham,6344,16,12,4
Massachusetts,Ashby,3217,8,7,1
Massachusetts,Ashfield,1715,2,2,0
Massachusetts,Ashland,17842,31,25,6
Massachusetts,Athol,11682,26,19,7
Massachusetts,Attleboro,45181,97,82,15
Massachusetts,Auburn,16736,50,38,12
Massachusetts,Avon,4561,20,15,5
Massachusetts,Ayer,8237,30,20,10
Massachusetts,Barnstable,44169,138,111,27
Massachusetts,Barre,5568,10,9,1
Massachusetts,Becket,1709,4,4,0
Massachusetts,Bedford,14135,35,28,7
Massachusetts,Belchertown,15148,26,20,6
Massachusetts,Bellingham,17331,34,26,8
Massachusetts,Belmont,26136,60,47,13
Massachusetts,Berkley,6864,13,13,0
Massachusetts,Berlin,3266,11,10,1
Massachusetts,Bernardston,2086,3,3,0
Massachusetts,Beverly,42229,73,69,4
Massachusetts,Billerica,43473,81,63,18
Massachusetts,Blackstone,9269,22,18,4
Massachusetts,Bolton,5455,13,12,1
Massachusetts,Boston,697323,2715,2132,583
Massachusetts,Bourne,19657,51,43,8
Massachusetts,Boxborough,5856,19,13,6
Massachusetts,Boxford,8328,9,9,0
Massachusetts,Boylston,4728,14,10,4
Massachusetts,Braintree,37278,98,82,16
Massachusetts,Brewster,9714,29,24,5
Massachusetts,Bridgewater,8107,45,43,2
Massachusetts,Brockton,99171,211,187,24
Massachusetts,Brookfield,3442,5,5,0
Massachusetts,Brookline,59057,187,137,50
Massachusetts,Buckland,1845,2,2,0
Massachusetts,Burlington,28960,68,61,7
Massachusetts,Cambridge,119938,312,271,41
Massachusetts,Canton,24015,45,45,0
Massachusetts,Carlisle,5267,15,10,5
Massachusetts,Carver,12197,22,17,5
Massachusetts,Charlton,13720,24,18,6
Massachusetts,Chatham,5935,27,21,6
Massachusetts,Chelmsford,35369,62,57,5
Massachusetts,Chelsea,39995,115,107,8
Massachusetts,Cheshire,3118,1,1,0
Massachusetts,Chicopee,54918,125,121,4
Massachusetts,Clinton,13967,36,26,10
Massachusetts,Cohasset,8653,20,19,1
Massachusetts,Concord,18952,42,33,9
Massachusetts,Dalton,6500,9,8,1
Massachusetts,Danvers,27517,57,45,12
Massachusetts,Dartmouth,33986,86,71,15
Massachusetts,Dedham,25217,58,54,4
Massachusetts,Deerfield,4976,10,9,1
Massachusetts,Dennis,13760,51,44,7
Massachusetts,Dighton,8026,15,14,1
Massachusetts,Douglas,9054,18,14,4
Massachusetts,Dover,6176,17,16,1
Massachusetts,Dracut,31708,44,41,3
Massachusetts,Dudley,11745,16,15,1
Massachusetts,Dunstable,3410,9,8,1
Massachusetts,Duxbury,16561,33,31,2
Massachusetts,East Bridgewater,15103,31,22,9
Massachusetts,East Brookfield,2200,4,4,0
Massachusetts,Eastham,4874,23,17,6
Massachusetts,Easthampton,15804,35,29,6
Massachusetts,East Longmeadow,16181,28,25,3
Massachusetts,Easton,25176,46,36,10
Massachusetts,Edgartown,4374,20,19,1
Massachusetts,Essex,3812,11,10,1
Massachusetts,Everett,46765,125,117,8
Massachusetts,Fairhaven,16014,37,31,6
Massachusetts,Fall River,89136,272,221,51
Massachusetts,Falmouth,30769,60,56,4
Massachusetts,Fitchburg,40443,92,77,15
Massachusetts,Foxborough,18539,41,39,2
Massachusetts,Framingham,74680,147,129,18
Massachusetts,Franklin,34281,55,53,2
Massachusetts,Freetown,9401,19,19,0
Massachusetts,Gardner,20629,51,32,19
Massachusetts,Georgetown,8783,18,13,5
Massachusetts,Gill,1464,2,2,0
Massachusetts,Gloucester,30445,67,60,7
Massachusetts,Goshen,1059,2,2,0
Massachusetts,Grafton,18908,24,20,4
Massachusetts,Granby,6297,15,11,4
Massachusetts,Great Barrington,6928,18,17,1
Massachusetts,Greenfield,17239,47,34,13
Massachusetts,Groton,11337,26,19,7
Massachusetts,Groveland,6856,13,11,2
Massachusetts,Hadley,5352,22,16,6
Massachusetts,Halifax,8207,11,10,1
Massachusetts,Hamilton,8038,18,13,5
Massachusetts,Hanson,11367,24,23,1
Massachusetts,Hardwick,3047,5,5,0
Massachusetts,Harwich,12068,34,28,6
Massachusetts,Haverhill,64015,117,100,17
Massachusetts,Hingham,25816,49,47,2
Massachusetts,Hinsdale,1899,5,4,1
Massachusetts,Holbrook,11035,23,22,1
Massachusetts,Holden,19412,39,24,15
Massachusetts,Holland,2473,2,2,0
Massachusetts,Holliston,14986,30,25,5
Massachusetts,Holyoke,40002,128,113,15
Massachusetts,Hopedale,5924,17,13,4
Massachusetts,Hopkinton,18806,36,26,10
Massachusetts,Hudson,19839,44,33,11
Massachusetts,Hull,10850,27,24,3
Massachusetts,Ipswich,14097,29,25,4
Massachusetts,Kingston,14481,32,24,8
Massachusetts,Lakeville,12053,24,19,5
Massachusetts,Lancaster,8040,12,11,1
Massachusetts,Lanesboro,2924,6,6,0
Massachusetts,Lawrence,79997,181,158,23
Massachusetts,Leicester,11329,21,20,1
Massachusetts,Lenox,4930,10,10,0
Massachusetts,Leominster,41598,92,76,16
Massachusetts,Leverett,1836,3,3,0
Massachusetts,Lexington,33138,61,45,16
Massachusetts,Lincoln,7092,18,13,5
Massachusetts,Littleton,10326,28,20,8
Massachusetts,Longmeadow,15640,27,25,2
Massachusetts,Lowell,110876,310,232,78
Massachusetts,Ludlow,21171,52,40,12
Massachusetts,Lunenburg,11874,17,16,1
Massachusetts,Lynn,94223,195,177,18
Massachusetts,Lynnfield,13093,27,21,6
Massachusetts,Malden,60231,110,101,9
Massachusetts,Mansfield,24484,46,37,9
Massachusetts,Marblehead,20525,39,30,9
Massachusetts,Marion,5396,15,15,0
Massachusetts,Marlborough,39498,81,67,14
Massachusetts,Mashpee,14180,44,35,9
Massachusetts,Mattapoisett,6659,20,20,0
Massachusetts,Maynard,11420,27,21,6
Massachusetts,Medfield,13034,25,19,6
Massachusetts,Medway,13534,26,25,1
Massachusetts,Melrose,27975,44,43,1
Massachusetts,Mendon,6232,17,14,3
Massachusetts,Methuen,50810,101,84,17
Massachusetts,Middleboro,26606,48,44,4
Massachusetts,Middleton,10189,17,16,1
Massachusetts,Millbury,13949,59,49,10
Massachusetts,Millis,8339,23,18,5
Massachusetts,Millville,3247,6,5,1
Massachusetts,Milton,27600,60,52,8
Massachusetts,Montague,8185,22,17,5
Massachusetts,Nahant,3505,13,12,1
Massachusetts,Nantucket,11484,56,38,18
Massachusetts,Natick,36200,70,54,16
Massachusetts,Needham,31586,59,50,9
Massachusetts,New Bedford,94886,291,248,43
Massachusetts,Newburyport,18288,37,32,5
Massachusetts,Newton,88281,194,149,45
Massachusetts,Norfolk,12068,23,21,2
Massachusetts,North Adams,12620,36,24,12
Massachusetts,Northampton,28428,66,59,7
Massachusetts,North Andover,31341,52,38,14
Massachusetts,North Attleboro,29280,62,45,17
Massachusetts,Northborough,15105,28,20,8
Massachusetts,Northbridge,16699,26,18,8
Massachusetts,Northfield,2950,3,3,0
Massachusetts,North Reading,15886,35,32,3
Massachusetts,Norton,19932,35,34,1
Massachusetts,Norwell,11605,26,23,3
Massachusetts,Norwood,29791,72,61,11
Massachusetts,Oak Bluffs,4677,19,17,2
Massachusetts,Oakham,1953,1,1,0
Massachusetts,Orleans,5745,28,22,6
Massachusetts,Oxford,13967,29,22,7
Massachusetts,Palmer,12200,29,22,7
Massachusetts,Paxton,4953,17,16,1
Massachusetts,Peabody,52975,102,85,17
Massachusetts,Pelham,1312,2,2,0
Massachusetts,Pembroke,19211,32,31,1
Massachusetts,Pepperell,12114,17,16,1
Massachusetts,Petersham,1244,2,2,0
Massachusetts,Pittsfield,41865,107,86,21
Massachusetts,Plymouth,64199,144,128,16
Massachusetts,Plympton,3105,9,8,1
Massachusetts,Princeton,3477,7,6,1
Massachusetts,Provincetown,2947,24,18,6
Massachusetts,Quincy,94519,258,224,34
Massachusetts,Randolph,32052,64,59,5
Massachusetts,Raynham,14512,38,30,8
Massachusetts,Reading,25417,59,44,15
Massachusetts,Rehoboth,12406,32,26,6
Massachusetts,Revere,52930,106,100,6
Massachusetts,Rockland,18652,34,31,3
Massachusetts,Rockport,7279,17,16,1
Massachusetts,Rowley,6509,17,12,5
Massachusetts,Salem,43154,103,92,11
Massachusetts,Salisbury,9630,26,15,11
Massachusetts,Sandwich,20008,44,34,10
Massachusetts,Saugus,28397,82,67,15
Massachusetts,Scituate,19655,34,33,1
Massachusetts,Seekonk,15927,40,38,2
Massachusetts,Sharon,19011,34,30,4
Massachusetts,Sheffield,3115,5,5,0
Massachusetts,Shelburne,1830,3,3,0
Massachusetts,Sherborn,4335,15,14,1
Massachusetts,Shirley,7632,13,11,2
Massachusetts,Shrewsbury,38656,59,45,14
Massachusetts,Somerset,18024,38,33,5
Massachusetts,Somerville,81552,155,122,33
Massachusetts,Southampton,6213,13,9,4
Massachusetts,Southborough,10202,25,20,5
Massachusetts,Southbridge,16805,49,38,11
Massachusetts,South Hadley,17613,33,28,5
Massachusetts,Southwick,9732,24,18,6
Massachusetts,Spencer,11896,23,18,5
Massachusetts,Springfield,153084,622,474,148
Massachusetts,Stockbridge,1884,7,6,1
Massachusetts,Stoneham,24329,45,37,8
Massachusetts,Stoughton,29067,69,58,11
Massachusetts,Stow,7266,12,10,2
Massachusetts,Sturbridge,9585,27,20,7
Massachusetts,Sudbury,19778,41,30,11
Massachusetts,Sunderland,3622,6,5,1
Massachusetts,Sutton,9600,19,15,4
Massachusetts,Swampscott,15391,29,28,1
Massachusetts,Swansea,16854,39,34,5
Massachusetts,Templeton,8110,14,9,5
Massachusetts,Tewksbury,31237,71,62,9
Massachusetts,Tisbury,4108,15,13,2
Massachusetts,Topsfield,6668,12,11,1
Massachusetts,Townsend,9515,14,13,1
Massachusetts,Truro,1997,17,12,5
Massachusetts,Uxbridge,14202,26,19,7
Massachusetts,Wakefield,27114,48,47,1
Massachusetts,Walpole,25273,55,44,11
Massachusetts,Waltham,62339,212,148,64
Massachusetts,Wareham,23619,52,43,9
Massachusetts,Warren,5203,7,6,1
Massachusetts,Watertown,36201,79,67,12
Massachusetts,Webster,16876,32,30,2
Massachusetts,Wellesley,28687,57,42,15
Massachusetts,Wellfleet,2707,20,15,5
Massachusetts,Wenham,5296,11,10,1
Massachusetts,Westborough,19138,37,35,2
Massachusetts,West Brookfield,3715,6,6,0
Massachusetts,Westfield,41072,84,80,4
Massachusetts,Westford,25011,52,48,4
Massachusetts,Westminster,8038,18,14,4
Massachusetts,Weston,12146,36,26,10
Massachusetts,Westport,16003,32,29,3
Massachusetts,West Tisbury,2919,10,9,1
Massachusetts,Westwood,16578,37,29,8
Massachusetts,Weymouth,58090,117,98,19
Massachusetts,Wilbraham,14690,28,27,1
Massachusetts,Williamsburg,2464,1,1,0
Massachusetts,Williamstown,7397,14,12,2
Massachusetts,Wilmington,23437,54,50,4
Massachusetts,Winchendon,10908,21,15,6
Massachusetts,Winchester,22827,49,40,9
Massachusetts,Winthrop,18561,31,30,1
Massachusetts,Woburn,40142,84,79,5
Massachusetts,Worcester,184850,492,442,50
Massachusetts,Wrentham,12112,23,22,1
Massachusetts,Yarmouth,23015,75,61,14
Michigan,Adrian,20540,32,30,2
Michigan,Adrian Township,6237,2,2,0
Michigan,Akron,372,1,1,0
Michigan,Albion,8381,20,19,1
Michigan,Allegan,5023,9,8,1
Michigan,Allen Park,26809,42,38,4
Michigan,Alma,8839,17,14,3
Michigan,Almont,2809,7,7,0
Michigan,Alpena,9900,18,16,2
Michigan,Ann Arbor,120647,145,118,27
Michigan,Argentine Township,6473,5,5,0
Michigan,Armada,1714,2,2,0
Michigan,Auburn Hills,25149,55,50,5
Michigan,Augusta,900,9,6,3
Michigan,Bad Axe,2893,7,7,0
Michigan,Bangor,1827,6,6,0
Michigan,Baraga,1935,2,2,0
Michigan,Baroda-Lake Township,3890,6,5,1
Michigan,Barryton,353,1,1,0
Michigan,Barry Township,3531,4,4,0
Michigan,Bath Township,13167,13,12,1
Michigan,Battle Creek,60479,123,103,20
Michigan,Bay City,32485,58,52,6
Michigan,Beaverton,1177,4,4,0
Michigan,Belding,5741,7,7,0
Michigan,Bellaire,1064,2,2,0
Michigan,Belleville,3887,8,7,1
Michigan,Bellevue,1305,2,2,0
Michigan,Benton Harbor,9710,30,29,1
Michigan,Benton Township,14251,27,21,6
Michigan,Berkley,15410,37,29,8
Michigan,Berrien Springs-Oronoko Township,8894,9,8,1
Michigan,Beverly Hills,10363,27,23,4
Michigan,Big Rapids,10355,20,18,2
Michigan,Birch Run,1468,6,5,1
Michigan,Birmingham,21536,44,33,11
Michigan,Blackman Township,37034,41,40,1
Michigan,Blissfield,3259,7,6,1
Michigan,Bloomfield Hills,4012,25,22,3
Michigan,Bloomfield Township,42059,81,65,16
Michigan,Boyne City,3729,7,6,1
Michigan,Breckenridge,1267,1,1,0
Michigan,Bridgeport Township,9736,9,8,1
Michigan,Bridgman,2204,5,5,0
Michigan,Brighton,7679,18,16,2
Michigan,Bronson,2298,4,4,0
Michigan,Brown City,1242,1,1,0
Michigan,Brownstown Township,32255,37,30,7
Michigan,Buchanan,4242,9,8,1
Michigan,Buena Vista Township,8047,13,12,1
Michigan,Burton,28427,38,36,2
Michigan,Cadillac,10513,17,16,1
Michigan,Cambridge Township,5679,4,4,0
Michigan,Canton Township,94128,102,93,9
Michigan,Capac,1832,2,2,0
Michigan,Carleton,2354,4,3,1
Michigan,Caro,3959,7,7,0
Michigan,Carrollton Township,5599,6,6,0
Michigan,Carson City,1111,1,1,0
Michigan,Caseville,730,2,2,0
Michigan,Caspian-Gaastra,1162,1,1,0
Michigan,Cass City,2260,4,4,0
Michigan,Cassopolis,1692,5,5,0
Michigan,Center Line,8162,25,20,5
Michigan,Central Lake,938,1,1,0
Michigan,Charlevoix,2486,8,7,1
Michigan,Charlotte,9091,16,15,1
Michigan,Cheboygan,4668,9,9,0
Michigan,Chelsea,5471,14,10,4
Michigan,Chesaning,2221,2,1,1
Michigan,Chesterfield Township,47059,59,45,14
Michigan,Chikaming Township,3078,7,6,1
Michigan,Chocolay Township,5918,5,4,1
Michigan,Clare,3071,7,7,0
Michigan,Clawson,11846,19,18,1
Michigan,Clayton Township,7057,7,6,1
Michigan,Clay Township,8886,23,18,5
Michigan,Clinton,2285,4,4,0
Michigan,Clinton Township,100884,103,94,9
Michigan,Clio,2482,4,4,0
Michigan,Coldwater,12076,20,18,2
Michigan,Coleman,1199,2,2,0
Michigan,Coloma Township,6319,10,7,3
Michigan,Colon,1155,3,3,0
Michigan,Columbia Township,7350,7,7,0
Michigan,Constantine,2110,6,5,1
Michigan,Corunna,3327,3,3,0
Michigan,Covert Township,2891,9,9,0
Michigan,Croswell,2269,5,5,0
Michigan,Crystal Falls,1354,1,1,0
Michigan,Davison,4848,6,5,1
Michigan,Davison Township,19197,22,20,2
Michigan,Dearborn,93507,230,186,44
Michigan,Dearborn Heights,55105,105,81,24
Michigan,Decatur,1724,5,5,0
Michigan,Denton Township,5421,4,4,0
Michigan,Detroit,659616,3149,2528,621
Michigan,DeWitt,4844,7,6,1
Michigan,DeWitt Township,15756,16,15,1
Michigan,Dowagiac,5648,14,13,1
Michigan,Dryden Township,4724,4,4,0
Michigan,Dundee,4681,5,5,0
Michigan,Durand,3818,5,5,0
Michigan,East Grand Rapids,12105,30,28,2
Michigan,East Jordan,2348,5,5,0
Michigan,East Lansing,48098,60,51,9
Michigan,Eastpointe,32046,47,42,5
Michigan,Eaton Rapids,5248,10,9,1
Michigan,Eau Claire,594,1,1,0
Michigan,Ecorse,9576,19,19,0
Michigan,Elk Rapids,1613,5,5,0
Michigan,Elkton,743,1,1,0
Michigan,Emmett Township,11611,16,14,2
Michigan,Erie Township,4308,4,3,1
Michigan,Escanaba,12111,44,32,12
Michigan,Essexville,3257,8,8,0
Michigan,Evart,1879,3,3,0
Michigan,Fair Haven Township,1038,1,1,0
Michigan,Farmington,10503,24,23,1
Michigan,Farmington Hills,80708,135,99,36
Michigan,Fennville,1433,5,5,0
Michigan,Fenton,11369,18,15,3
Michigan,Ferndale,20048,49,39,10
Michigan,Flat Rock,10019,20,18,2
Michigan,Flint,94842,117,95,22
Michigan,Flint Township,30178,48,41,7
Michigan,Flushing,7827,10,10,0
Michigan,Flushing Township,10133,9,8,1
Michigan,Forsyth Township,6182,10,8,2
Michigan,Fowlerville,2895,6,5,1
Michigan,Frankenmuth,5595,9,7,2
Michigan,Frankfort,1291,3,3,0
Michigan,Franklin,3256,11,11,0
Michigan,Fraser,14480,30,29,1
Michigan,Fremont,4077,9,8,1
Michigan,Fruitport Township,14476,10,10,0
Michigan,Gagetown,360,1,1,0
Michigan,Gaines Township,6103,1,1,0
Michigan,Galien,527,2,1,1
Michigan,Garden City,26282,38,35,3
Michigan,Garfield Township,850,1,1,0
Michigan,Gaylord,3692,12,11,1
Michigan,Genesee Township,20325,21,18,3
Michigan,Gerrish Township,2946,6,6,0
Michigan,Gibraltar,4505,10,9,1
Michigan,Gladstone,4670,11,10,1
Michigan,Gladwin,2887,5,5,0
Michigan,Grand Beach/Michiana,463,5,5,0
Michigan,Grand Blanc,7831,18,16,2
Michigan,Grand Blanc Township,36498,48,41,7
Michigan,Grand Haven,11126,33,30,3
Michigan,Grand Ledge,7908,16,16,0
Michigan,Grand Rapids,202513,360,291,69
Michigan,Grandville,15913,27,25,2
Michigan,Grant,883,2,2,0
Michigan,Grayling,1848,6,5,1
Michigan,Green Oak Township,19154,19,17,2
Michigan,Greenville,8415,17,15,2
Michigan,Grosse Ile Township,10114,23,17,6
Michigan,Grosse Pointe,5127,21,21,0
Michigan,Grosse Pointe Farms,9077,37,32,5
Michigan,Grosse Pointe Park,10998,38,33,5
Michigan,Grosse Pointe Shores,2786,18,18,0
Michigan,Grosse Pointe Woods,15269,37,31,6
Michigan,Hamburg Township,21867,19,18,1
Michigan,Hampton Township,9354,10,10,0
Michigan,Hamtramck,21514,38,33,5
Michigan,Hancock,4487,10,10,0
Michigan,Harbor Beach,1575,4,4,0
Michigan,Harbor Springs,1207,7,6,1
Michigan,Harper Woods,13679,31,27,4
Michigan,Hart,2064,5,5,0
Michigan,Hartford,2582,5,5,0
Michigan,Hastings,7307,17,15,2
Michigan,Hazel Park,16340,43,37,6
Michigan,Hesperia,927,3,3,0
Michigan,Highland Park,10680,12,11,1
Michigan,Hillsdale,7972,14,12,2
Michigan,Holland,33228,67,58,9
Michigan,Holly,6157,10,10,0
Michigan,Home Township,1370,1,1,0
Michigan,Houghton,7760,14,13,1
Michigan,Howell,9620,20,18,2
Michigan,Hudson,2200,3,3,0
Michigan,Huntington Woods,6268,17,16,1
Michigan,Huron Township,16288,29,22,7
Michigan,Imlay City,3567,10,9,1
Michigan,Inkster,24173,39,29,10
Michigan,Ionia,11153,17,15,2
Michigan,Iron Mountain,7274,15,14,1
Michigan,Iron River,2807,4,4,0
Michigan,Ironwood,4816,11,11,0
Michigan,Ishpeming,6410,12,11,1
Michigan,Ishpeming Township,3513,1,1,0
Michigan,Jackson,32332,52,43,9
Michigan,Jonesville,2210,3,3,0
Michigan,Kalamazoo,76411,258,235,23
Michigan,Kalamazoo Township,24562,36,32,4
Michigan,Kalkaska,2103,5,5,0
Michigan,Keego Harbor,3431,5,5,0
Michigan,Kentwood,52263,90,70,20
Michigan,Kingsford,4931,19,19,0
Michigan,Kingston,406,1,1,0
Michigan,Kinross Township,7439,2,2,0
Michigan,Laingsburg,1285,1,1,0
Michigan,Lake Angelus,308,1,1,0
Michigan,Lake Linden,942,1,1,0
Michigan,Lake Odessa,2043,4,4,0
Michigan,Lake Orion,3206,4,4,0
Michigan,Lakeview,1002,3,3,0
Michigan,L'Anse,1824,4,4,0
Michigan,Lansing,118651,250,199,51
Michigan,Lansing Township,8254,16,15,1
Michigan,Lapeer,8505,22,19,3
Michigan,Lathrup Village,4090,11,10,1
Michigan,Laurium,1889,4,4,0
Michigan,Lawton,1800,4,4,0
Michigan,Leslie,1903,4,4,0
Michigan,Lexington,1114,3,3,0
Michigan,Lincoln Park,36140,53,46,7
Michigan,Lincoln Township,14587,13,12,1
Michigan,Linden,3934,5,5,0
Michigan,Litchfield,1327,2,2,0
Michigan,Livonia,93342,157,118,39
Michigan,Lowell,4216,6,5,1
Michigan,Ludington,8111,16,14,2
Michigan,Luna Pier,1392,1,1,0
Michigan,Mackinac Island,469,8,8,0
Michigan,Mackinaw City,794,6,6,0
Michigan,Madison Heights,29906,62,48,14
Michigan,Madison Township,8229,5,5,0
Michigan,Mancelona,1364,1,1,0
Michigan,Manistee,6103,12,12,0
Michigan,Manistique,2923,8,8,0
Michigan,Manton,1588,1,1,0
Michigan,Marine City,4038,5,4,1
Michigan,Marlette,1755,4,4,0
Michigan,Marquette,20957,38,33,5
Michigan,Marshall,6954,15,15,0
Michigan,Marysville,9643,16,14,2
Michigan,Mason,8480,13,12,1
Michigan,Mattawan,1981,6,6,0
Michigan,Mayville,878,3,3,0
Michigan,Melvindale,10199,23,23,0
Michigan,Memphis,1174,1,1,0
Michigan,Mendon,848,1,1,0
Michigan,Menominee,7971,16,15,1
Michigan,Meridian Township,43598,37,34,3
Michigan,Metamora Township,4283,5,5,0
Michigan,Metro Police Authority of Genesee County,19883,29,26,3
Michigan,Midland,41682,52,50,2
Michigan,Milan,6065,17,12,5
Michigan,Milford,17038,21,19,2
Michigan,Millington,989,2,2,0
Michigan,Monroe,19433,42,36,6
Michigan,Montague,2361,4,4,0
Michigan,Montrose Township,7431,9,8,1
Michigan,Morenci,2139,7,7,0
Michigan,Morrice,908,2,2,0
Michigan,Mount Morris,2822,5,5,0
Michigan,Mount Morris Township,20207,29,25,4
Michigan,Mount Pleasant,24668,34,28,6
Michigan,Munising,2188,4,4,0
Michigan,Muskegon,36391,83,74,9
Michigan,Muskegon Heights,10724,25,22,3
Michigan,Muskegon Township,18022,15,14,1
Michigan,Napoleon Township,6767,5,5,0
Michigan,Nashville,1691,1,1,0
Michigan,Negaunee,4520,9,9,0
Michigan,Newaygo,2076,7,7,0
Michigan,New Baltimore,12377,25,15,10
Michigan,New Buffalo,1866,7,7,0
Michigan,New Era,439,1,1,0
Michigan,Niles,11102,28,17,11
Michigan,Northfield Township,8720,11,10,1
Michigan,North Muskegon,3793,8,8,0
Michigan,Northville,5956,14,13,1
Michigan,Northville Township,29434,47,34,13
Michigan,Norton Shores,24742,35,33,2
Michigan,Norway,2736,6,6,0
Michigan,Novi,61554,93,70,23
Michigan,Oak Park,29432,61,48,13
Michigan,Olivet,1782,2,2,0
Michigan,Ontwa Township-Edwardsburg,6602,9,8,1
Michigan,Orchard Lake,2483,9,8,1
Michigan,Oscoda Township,6741,13,12,1
Michigan,Otsego,3997,6,5,1
Michigan,Ovid,1616,2,2,0
Michigan,Owosso,14363,17,17,0
